页码,评论者,星级,IP属地,评论内容
1,Friday,5星,北京,本来找白蛇1呢，以为这个是，看完了才发现不是😂老师们工夫很深，画面很美，剧情耳熟能详没有别的创新，粤语调调听的有点困，不是很合我的口味
1,魏紫,5星,湖北,美
1,林妹妹在线rap,5星,江苏,厉害好看，当天很烦，本以为看这个会枯燥无味，结果挺好的
1,xr,3星,广西,武打戏份也相当精彩，导演并没有完全使用影视剧的语言逻辑，安排详实的布景和群演，故事基本上是在水墨图一样的渲染中展开，建筑风格也以美感为主不甚考究，甚至白娘子的前院铺上的是非常漂亮的灰白日式枯山水。
1,Hygge,4星,山西,从来没看过粤剧，但这个和数字技术结合的戏曲拍的实在吸引人。不知道白娘子传奇原著就是这样的还是怎么，很多台词像《青蛇》。
1,头梢柳上月,5星,北京,真没想到拍的如此惊艳。能把白蛇传的故事拍的这么别出心裁还真是大开眼界。
1,热心市民,5星,上海,@bilibili每一帧都美如画！
1,iooo,5星,江西,好看好看，戏曲也能做出年轻人喜爱的形式，怎么不可以！
1,破碎太阳之心,4星,重庆,看了开头片段好美啊
1,2023,5星,山西,妈呀，我好爱
1,草木青,4星,辽宁,感觉这个版本的剧情才更接近经典爱情传奇的样子，每个人的立场都合理但宿命还是给故事推向悲剧。特效挺好的，很有韵味，就是很多唱词偏俗，有些违和。
1,Déprimant si et,1星,广东,我宁愿去剧院买票，看人唱大戏，贵点就贵点。个人推荐一颗星，完全完全不推荐看。如果一定要欣赏戏曲影视，建议看看台湾的歌仔戏系列。台湾歌仔戏也是戏曲改编成影视向的戏曲，比这部电影好太多。真闹心，浪费时间看了一部烂片。
1,咿呀咿呀哟哈,3星,福建,一种颇有烟雨朦胧的江南氛围感的背景，一个我很熟悉的故事情
1,来世再见王小姐,5星,青海,刷逼站刷到了这部电影，又看了一遍。当时我记得是那段短暂的放风时间而且逃了我最喜欢的电脑课打车走了7公里才去哈一百旁边那个商场去看的，虽然过程非常的坎坷（牛魔的回来害感冒了我记得），但是我认为这次这种体验大概是自正联后第一次对一部电影产生如此浓厚的兴趣（可能是那段时间一直在看昆曲长生殿，牡丹亭之类的。但这部是粤剧）对于一个新时代的正常年轻人可能不去骂这部电影已经是一件好事了，做出改变是很难的，尤其是像戏剧，上一次的改变还是《十五贯》，伟大的毛主席不仅拯救了中国，也拯救了昆曲，本次改编第五折还是第四折白素贞大闹金山寺水袖那段戏是很对我的口味，电影+戏剧并且融入了武术和特效的效果对于老一辈的人肯定是赞不绝口，但是戏剧本身的节奏和语言模式对于不喜欢戏剧的年轻人可能是2小时的折磨，这个东西见仁见智吧
1,艾瑞可,4星,广东,还是不错的
1,做好自己胖别人,4星,四川,白素贞好美啊，武术动作精美，好看的
1,三朝进士,4星,甘肃,水漫金山的特效和编排可以称得上美轮美奂，用水墨风的背景衬起仙法对决，既满足了现代观众的观感，又不跳出传统戏曲的美感。但是有一些部分，由于戏曲与电影在艺术上的天然冲突，并不能在大荧幕上很好的展现。如开头许白相会用特效让二人上天入地，显得有些跳跃混乱，破坏了戏曲审美的节奏。又如最后白娘子永镇雷峰塔的段落，戏曲舞台上以伞为塔的处理，意味深长，却是只属于戏曲舞台的高度意向化表演，电影中直接造出一座塔的处理方法，比原戏曲显得笨重，也丧失了这部分的美感。
1,Ada.苒菻,5星,北京,直接爱上越剧！！！完美啊，无可挑剔啊！如果非要鸡蛋里挑骨头那就是花瓣特效还可以更加精进！比那个动画白蛇不知道高出多少个大鱼海棠哈哈哈哈哈！爱死爱死了！可惜没去电影院看！
1,涤玄,4星,山东,一部戏曲电影，也有特效，更有中国传统写意美学营造的意境美。情思缱绻，本就泪点高现在又不太吃爱情的我看到最后竟不觉落泪了。
1,爪子,5星,广西,演得真的很好啊，从来不知道粤剧演员这么优秀，不仅长得漂亮，演技还好，唱得很好听，手上都是肌肉打戏自己上，太牛了！看完就被“姊姊”“小青”洗脑到现在。能不能多来点这种，比各种乱七八糟改编的动漫白蛇好看多了！
2,萌兰,3星,北京,这是一部经久不衰的戏剧，跟电影联合起来的影片剧情描述的是白蛇跟许卿的爱情故事。
2,9_随缘,3星,山东,武打戏份也相当精彩让人大饱眼福
2,CING,3星,广东,粤剧很好，身段唱功都好，水袖好厉害，但按电影角度，镜头设计一般，舞台感比较重，背景虚假特效多，戏曲电影创新但风格需要适应。
2,一li幼苗,5星,河南,好看，传统戏曲故事多改些
2,无语,3星,广东,可以
2,梁伧,5星,广东,一帧一画，一颦一笑，一举一动，太美！！！
2,胡一白,5星,福建,改编成电影也太好看了吧，首先画质很棒，非常有中国的古典美学，里面的武打动作都非常流畅，优美。电影与传统戏曲完美结合，场景特效，服装搭配，转场都很不错，粤语唱词婉转悦耳，人物形象立体，台词功底扎实，通过小人物之口，说出为人之道，有情才为人。最喜欢的是第三，四，五幕戏，太精彩了。
2,Felix,4星,广东,惊艳的粤剧电影！
2,七七七七七七酱,5星,北京,好美，完全符合中式审美的背景第一部戏曲类的电影，前后拖了好几年才看完，哈哈哈哈心情平静的时候还是很愿意打开的
2,末先生没有詩,5星,陕西,如何绝美水墨人间！！！
2,海绵,4星,浙江,cg加戏剧，很好
