页码,评论者,星级,IP属地,评论内容
4,kylegun,4星,北京,当有人看了《天空上尉与明日世界》和《罪恶之城》后，灵感大发：我们把粤剧也拍成这个样子吧。老把式唱戏加新CG特效，且看青蛇像超人一样飞出破云效果，“（法海）师父，你看那边有人在飞喔！”大概这种感觉。“枉你修仙千年，却只习得委屈自己。”这也是所有传统戏剧如何存活延续所面对的问题吧
4,Kwan,4星,广东,3月底看完《雄狮少年》后就在想，继咏春、舞狮后，岭南文化还能有什么可以制作成电影呢？殊不知4月初看到这部电影，没想到是全景声4K模式的粤剧电影。本来打算和家人看，但资源找了好久，电视机也不支持该格式，便一直搁置直到今天机缘巧合换上了新电视机，终于能看了！4K画质超级清晰，音效震耳欲聋，犹如在电影院看一般。整个故事分为5个小节和尾声。布景简约不失精致，西湖、水雾、小桥、荷花、油纸伞，勾勒出一副栩栩如生的宋代水墨画。不论服装还是工艺头饰，从各个细节到整体风格，都在展现中国传统文化之美。大部分文、武戏依然保持粤剧的形式展现，而多机位拍摄使整部戏又跳出粤剧的形式，而“登昆仑山盗仙草”、“闯金山寺救夫”等场面特效大大提升电影质感。尤其是水漫金山，气势磅礴，非常震撼。美中不足是结尾改动较大，望忠于原著。9/10
4,胤祥,4星,北京,肯定是日后影史数得上的重要且有趣的作品，首先这部片应该是彻底解决了“戏曲电影是戏曲还是电影”这个问题（对这居然一度是个中国电影史的问题！），据美指老师的映后讲座这部片是有意识地当做“奇幻歌舞片”来拍的，片中也用到歌舞片调度和摄影棚搭建风格；一些动作戏（完全不是按戏曲逻辑拍了）包括特效做得也有趣。另一个重要的点是通过“数字绘景”对电影透视关系的部分改造，不仅用到国画的“高远/平远”概念而且还用到了日本美术的概念如北斋的《神奈川冲浪里》（水漫金山一场）和枯山水庭院等。仅当一个歌舞片来看，唱段确实蛮好听，基本控制在20分钟一折，比较精巧。此外还有个很是女性主义的解读方式，小青骂法海和许仙两个唱段相当之有意思。#可以放进上个十年的中国影视佳作里#
5,塔拉胡,4星,广东,粤剧好听，青妹好看，哪里可以看线下～
6,古宋松谷,4星,北京,大银幕看真是赏心悦目，戏曲电影能有这样的审美意境，让人看到希望。曾小敏有名角儿的风流，美得含情脉脉，真不输雅芝祖贤。另一面是粤剧的式微，曲调的流行歌曲化，唱词的现代古风化，都很难再有老派粤剧的荣光。
6,时光Serene,4星,北京,如20230224电影资料馆映后导演张险峰所说，戏曲是审美节奏。本片的屏风是导演朋友友情提供的。而架空的枯山水庭院风格其实也是特意消弭了时代的痕迹。特别喜欢仙童仙鹤的角色设定和求取仙草的情节设计。仙鹿对自己修行路有清醒思考，和端庄大气的白素贞是一种诉求。茶和水是前世燕侣待佛陀花开你我再相见因缘具足
6,萌 . 李,4星,辽宁,被《等你归来》这首歌吸引到看了这部，“湖畔柳岸，风光已既然，烟波回转，奈何天。人间有思念，浮生隔千年，纵有百劫千载也不变，终可遇见。”
7,三岛,4星,北京,@CFA小西天来上课，开始拉艺术史了，从中国古代画到西方摄影术再到两者的结合…强调电影画面的中国式，很多极致的俯拍镜头也在回归舞台上的场面调度。
8,teacher zhang,4星,上海,耳目一新还是很惊艳，但是许仙这么能劝酒，一套又一套，干脆去当果盘男孩得了
8,赫安,4星,安徽,首先这种形式值得认可，整天说传统文化流逝，不变革赶不上时代只能流逝呗，这个电影是个很好的变革，可以让年轻一代看到传统文化，特效不输大片。剧情中规中矩，许仙人设比别的版本好，不过看了那么多遍还是不理解白蛇为什么水漫金山，法海又不会真的伤害许仙？
9,寒塘鹤影,5星,广东,这里我看过最好看的粤剧了，虽然不是最好听的。除了部分镜头有明显舞台感之外，基本上已经电影化了，特别是第二折端阳节的镜头过渡惊艳到我了。最不满意第四折水漫金山，打斗特效用力过猛了，破坏了戏曲的写意的美感，而且这一段明显是受到了《青蛇》的影响。尽管并不完美，4星是达得到的，多1星鼓励，毕竟这种类型电影太少了。传统文化与现代表现形式之间并不一定是冲突的对立的，这种尝试应该再多一点，多试错才能找到一个平衡点，传统戏曲也是需要发展的。
9,Mademoiselle B,4星,广东,推陈出新的气魄和简约含蓄的气韵。
10,Rex,5星,美国,小桥流水、亭台烛火的绝美画面堪称完美，人物造型、服饰美轮美奂、风格多变，粤剧唱腔韵味十足，与古风融为一体，也能为现代观众所接受；白素贞、小青两身素衣水漫金山，作为全片高潮，水墨风与武打的完美融合，酣畅淋漓，美轮美奂；曾小敏老师饰演的白素贞更可谓一绝，一颦一笑尽显白蛇风情。该片成功将戏剧与电影融合，运用忠于故事的剧情和精妙的CG来讲述一个古老且耳熟能详的故事，可谓开创了一种全新的模式，我愿称之为“国粹片”@bilibili
10,示且木又,5星,广西,竟然没有宣传！唉，我这么喜欢看电影的人都没有听说！
