页码,评论者,星级,IP属地,评论内容
6,kylegun,4星,北京,当有人看了《天空上尉与明日世界》和《罪恶之城》后，灵感大发：我们把粤剧也拍成这个样子吧。老把式唱戏加新CG特效，且看青蛇像超人一样飞出破云效果，“（法海）师父，你看那边有人在飞喔！”大概这种感觉。“枉你修仙千年，却只习得委屈自己。”这也是所有传统戏剧如何存活延续所面对的问题吧
6,Kwan,4星,广东,3月底看完《雄狮少年》后就在想，继咏春、舞狮后，岭南文化还能有什么可以制作成电影呢？殊不知4月初看到这部电影，没想到是全景声4K模式的粤剧电影。本来打算和家人看，但资源找了好久，电视机也不支持该格式，便一直搁置直到今天机缘巧合换上了新电视机，终于能看了！4K画质超级清晰，音效震耳欲聋，犹如在电影院看一般。整个故事分为5个小节和尾声。布景简约不失精致，西湖、水雾、小桥、荷花、油纸伞，勾勒出一副栩栩如生的宋代水墨画。不论服装还是工艺头饰，从各个细节到整体风格，都在展现中国传统文化之美。大部分文、武戏依然保持粤剧的形式展现，而多机位拍摄使整部戏又跳出粤剧的形式，而“登昆仑山盗仙草”、“闯金山寺救夫”等场面特效大大提升电影质感。尤其是水漫金山，气势磅礴，非常震撼。美中不足是结尾改动较大，望忠于原著。9/10
7,胤祥,4星,北京,肯定是日后影史数得上的重要且有趣的作品，首先这部片应该是彻底解决了“戏曲电影是戏曲还是电影”这个问题（对这居然一度是个中国电影史的问题！），据美指老师的映后讲座这部片是有意识地当做“奇幻歌舞片”来拍的，片中也用到歌舞片调度和摄影棚搭建风格；一些动作戏（完全不是按戏曲逻辑拍了）包括特效做得也有趣。另一个重要的点是通过“数字绘景”对电影透视关系的部分改造，不仅用到国画的“高远/平远”概念而且还用到了日本美术的概念如北斋的《神奈川冲浪里》（水漫金山一场）和枯山水庭院等。仅当一个歌舞片来看，唱段确实蛮好听，基本控制在20分钟一折，比较精巧。此外还有个很是女性主义的解读方式，小青骂法海和许仙两个唱段相当之有意思。#可以放进上个十年的中国影视佳作里#
8,塔拉胡,4星,广东,粤剧好听，青妹好看，哪里可以看线下～
8,十一伏特,2星,北京,伪装成粤剧戏曲片的三流网大电影。灾难级别的剪辑分镜，一句念白都能切换三四次机位，角色唱词时从背后或侧面拍，完全损失掉戏曲表演的功力表现。念白唱词总是和口型对不上，后期声音同步剪辑技术不达标，频繁切镜头恐怕也是为了藏拙。人物塑造趋近于零，白素贞只剩下恋爱脑，只为许仙而活，对于人间的扶危助困情节完全忽略。小青只是打手，法海只是捉妖。却偏偏花大篇幅留给打戏，夺灵芝、水漫金山都堆砌特效，已经脱离出戏曲表现的范畴。无法理解这种取舍，既没能很好表现戏曲，又没讲好基本叙事，追求特效能力又达不到。
8,古宋松谷,4星,北京,大银幕看真是赏心悦目，戏曲电影能有这样的审美意境，让人看到希望。曾小敏有名角儿的风流，美得含情脉脉，真不输雅芝祖贤。另一面是粤剧的式微，曲调的流行歌曲化，唱词的现代古风化，都很难再有老派粤剧的荣光。
9,nikki,3星,广东,23_034。话说我好像没正经看过粤剧，只能说初次看还真的挺不习惯的。全程真人和CG结合这种真的画面挺奇怪的。另外虽然大家对这故事都很熟了，其实总结一句就是“美色累人”，明明可以自己修成正果的就为个男人这样拖累了不值得，真是不值得啊
9,时光Serene,4星,北京,如20230224电影资料馆映后导演张险峰所说，戏曲是审美节奏。本片的屏风是导演朋友友情提供的。而架空的枯山水庭院风格其实也是特意消弭了时代的痕迹。特别喜欢仙童仙鹤的角色设定和求取仙草的情节设计。仙鹿对自己修行路有清醒思考，和端庄大气的白素贞是一种诉求。茶和水是前世燕侣待佛陀花开你我再相见因缘具足
9,萌 . 李,4星,辽宁,被《等你归来》这首歌吸引到看了这部，“湖畔柳岸，风光已既然，烟波回转，奈何天。人间有思念，浮生隔千年，纵有百劫千载也不变，终可遇见。”
10,臻圣,3星,北京,传播中国传统文化，值得推崇！场景美轮美奂，粤语清脆悦耳，演员唱念做打都是台下多年训练的功底。水墨画般的特效意外好看，很奇妙的观影体验。
10,三岛,4星,北京,@CFA小西天来上课，开始拉艺术史了，从中国古代画到西方摄影术再到两者的结合…强调电影画面的中国式，很多极致的俯拍镜头也在回归舞台上的场面调度。
12,zen,3星,上海,美则美矣
12,田村卡夫卡,2星,河北,我觉得很没必要，不是画面好看，照搬就是好的艺术了。电影和戏剧是两个语言系统，如果想转变，那就应该确认一个语言来说，现在给我的感觉就像是一个外国人在用英文读古诗，不可能给人很好的观感。这是偷懒，不是这个常识不可能，是导演在偷懒
12,teacher zhang,4星,上海,耳目一新还是很惊艳，但是许仙这么能劝酒，一套又一套，干脆去当果盘男孩得了
12,丁卯,3星,北京,画面很美，特效很漂亮，节奏很慢，其他没有任何惊喜
13,赫安,4星,安徽,首先这种形式值得认可，整天说传统文化流逝，不变革赶不上时代只能流逝呗，这个电影是个很好的变革，可以让年轻一代看到传统文化，特效不输大片。剧情中规中矩，许仙人设比别的版本好，不过看了那么多遍还是不理解白蛇为什么水漫金山，法海又不会真的伤害许仙？
14,寒塘鹤影,5星,广东,这里我看过最好看的粤剧了，虽然不是最好听的。除了部分镜头有明显舞台感之外，基本上已经电影化了，特别是第二折端阳节的镜头过渡惊艳到我了。最不满意第四折水漫金山，打斗特效用力过猛了，破坏了戏曲的写意的美感，而且这一段明显是受到了《青蛇》的影响。尽管并不完美，4星是达得到的，多1星鼓励，毕竟这种类型电影太少了。传统文化与现代表现形式之间并不一定是冲突的对立的，这种尝试应该再多一点，多试错才能找到一个平衡点，传统戏曲也是需要发展的。
14,Mademoiselle B,4星,广东,推陈出新的气魄和简约含蓄的气韵。
15,Rex,5星,美国,小桥流水、亭台烛火的绝美画面堪称完美，人物造型、服饰美轮美奂、风格多变，粤剧唱腔韵味十足，与古风融为一体，也能为现代观众所接受；白素贞、小青两身素衣水漫金山，作为全片高潮，水墨风与武打的完美融合，酣畅淋漓，美轮美奂；曾小敏老师饰演的白素贞更可谓一绝，一颦一笑尽显白蛇风情。该片成功将戏剧与电影融合，运用忠于故事的剧情和精妙的CG来讲述一个古老且耳熟能详的故事，可谓开创了一种全新的模式，我愿称之为“国粹片”@bilibili
15,示且木又,5星,广西,竟然没有宣传！唉，我这么喜欢看电影的人都没有听说！
16,请尊敬王道长,未知,北京,被戏曲片的特效惊艳到
16,基本是我,5星,浙江,这么有改革创新的戏曲片怎么会拿不到金鸡奖呢？
16,景外声,5星,四川,戏曲电影落点还是应该在戏曲上，救许仙那场打戏的水袖是真舞得好看，期待新作。但最后还是要吐槽枯山水的布景，很出戏，希望下部戏不要犯这些低级错误。
16,雪中来客,4星,浙江,我居然看完了一部戏曲电影。不得不说，美术真的是太好了，审美相当好，浓浓国风，很独特的水墨国风特效，特效水准很不错。曾小敏老师唱得真好，基本不听戏的，都要被她唱哭了，实打实甩水袖打架那段，秒杀一堆特效打戏摆pose的流量演员。本子上，老戏新演，许仙人设不差，白素贞敢爱敢恨，小青依然观众嘴替，法海也不算那么盲目。戏曲电影一次不错的探索，艺术品。
17,浮生若梦,3星,加拿大,影像的助力使戏曲这门艺术变得立体，也增加了更多叙事的空间，然而它并不能称之为电影。
17,南都小王子,5星,浙江,第一次看粤剧，本来以为会很难接受，但竟然意外地好看，首先是粤剧的唱腔咬字比较接近日常对话，对于年轻人比较好接受，而且，可以看出，这部剧花了很大心思在服化道及场景布置上，美轮美奂，而且特效给得恰到好处，斗法一场还是比较震撼的，为传统戏剧与现代技术的完美融合点赞，希望能有更多这样的好剧出现，使中国传统曲艺焕发新生！
17,剑气凌厉的江南,4星,上海,电影院看的，还有点惊喜，特效画面什么的都往浪漫系使劲儿，虽说是粤剧，念白其实都听得懂，许仙也没有改得很冷漠，永镇雷峰塔也保留了，小青的台词也很有气场，挺好
17,马苏皮拉密,4星,四川,粤剧电影牺牲了一些戏味拉近了普通观众特效不错场景很美
17,血浆爱好者,4星,浙江,〈补标〉
17,丑嘴唇,5星,广西,毛立平老师说过一个代表当时当地统治阶级价值观的县志里记录的一则传说，说一个读书人在夜宿破庙时遇到一只老虎，这个老虎变成一位女子与他成亲，生子后两人故地重游，女子进了庙后变回老虎吃掉儿子后离去，空留这个读书人疯癫度过余生。这则传说意在告诫当时的人们婚姻必须明媒正娶，自己野合不得善果。虽然宣传力度很是用力了，但是相比之下，《白蛇传》这样讲述人蛇相恋歌颂爱情的故事显然流传更广更受百姓欢迎。虽然《白蛇传》中有着这样那样在不同时代中会有的争议，但在争论其中所谓的是非对错时别忘了，这样的传说的产生和流传本身就是对那个封建社会的僵化腐朽所作的反抗吧。
18,奇爱博士,5星,北京,好看到令人流泪，前前后后刷了十几遍。虽然从事电影专业工作这么多年，但真正能打动我的就是这种通俗纯粹的电影。CFA李金辉映后交流2023.6.24
18,比多,4星,北京,不错。戏曲和电影手段结合得很好。那些身段都很有魅力。
18,凉白开养鱼,3星,江苏,特效牛逼，粤语很美，剧情…就不好说什么，毕竟是戏曲，跳着看
19,殺死金毛玲,3星,浙江,审美疲劳啦
19,江枫渔火·,4星,北京,第一次在大银幕看戏曲电影，喜欢。诗意的场景设计，充满写意美学。文戏武戏都很不错，水漫金山那段特效绝了！只不过结尾有些过于仓促了。中国电影资料馆6.24
19,电子荒野,4星,浙江,有老粤语残片的精髓。
19,乐马斯,3星,上海,我愿称法海为东方撒旦（狗头），最喜欢的角色一直是小青。其实已经很好了，给7分完全没问题，但如果说有什么问题的话，那在于戏剧与电影的平衡感，还可以更粤剧一点，现在部分对手戏和动作的处理太电影化了。
