Column1,Column2,Column3
昵称,性别,评论
七彩炫光皮披虾,男,[辣眼睛]
zerve,保密,当时就想去看来着，没排片！
是李多鱼啊,保密,李少红当初想把红楼梦拍成这样吧
夕月与舞,保密,投屏播放一顿一顿的
納蘭文鸢,保密,刻骨铭心啊，拍的真好，好看，看哭了
曲水流沙,女,"不知道是不是受现在仙偶剧影响，我居然觉得法海没啥错，这版法海是我看过的最温和、最有宗师气派的一版法海了，前面对白素贞一直没下狠手，都是劝她离开去修道，最后白素贞和小青水漫金山才开大。白素贞用现在眼光看是有点恋爱脑的，为了救许仙又不管不顾水漫金山，害了钱塘百姓。所以最后她被压在雷峰塔下面也算是自作自受。过去我代入的是白素贞，会同情白素贞，但是水漫金山那里我一直在想钱塘老百姓怎么办？在回想赵雅芝那版的法海都没那么气愤了，真是时移世易，人的观念也会改变。当爱情不是唯一，大家对婚姻没那么期待后，很多东西看法也会改变，弹幕里看到有人说许仙吓死那里白素贞就该放手了。她继续修道，许仙进入下一世轮回，两人的羁绊就解开了。佛家也说希望人不要执着。
不过白蛇传也不能单单认为它是讲白素贞恋爱的故事，如果只从爱情角度看，什么梁祝、孔雀东南飞等老故事都要被批判了。实际王宝钏已经被审判了。在过去封建制度下，人们的婚姻不自主，白蛇这类传说最终固定的版本形式和初版已经不一样了，是人民自己不断优化的结果，也是代表了人民心声的选择。表现爱情婚姻自由的戏码是最能代表过去反封建的，也是老百姓喜闻乐见的。不论什么题材受欢迎的戏码都是能够引发情感共鸣的。这也是传统戏剧要思考的出路。"
小毛睿战士00,保密,前两周刚刚到电影院看了《谯国夫人》，整场下来人数凑不齐两桌麻将
徒青空邑,保密,红星姐姐我好爱
fallinaangry,男,支持
gsggdgdgd,保密,看不懂
长在树上的熊猫果,保密,看完谯国夫人回来再看白蛇啦，谯国夫人也好看！
巨大蟹黄包chadwick,女,大家快去支持谯国夫人[奋斗][奋斗]
CN171-11救援隊,女,看完谯国夫人再来看一遍白蛇，跟白蛇没得比呀感觉制作好粗糙
波本的吧,保密,"谯国夫人看前一小时再看一波
从金三角回来就为了看这一部电影了，但愿太子炳唔好令我失望"
乱入の奈须,女,电影谯国夫人看完啦！大家多多支持呀！舞台版的谯国夫人也很好看！！
迷途狂奔,保密,粤剧电影创新三部曲第二部《谯国夫人》已经上映了！欢迎大家到影院支持[打call]【【粤剧电影谯国夫人】超强阵容，影院见-哔哩哔哩】 https://b23.tv/MW3Uuik
追忆羽,男,放在现在2024年上映，绝对会票房大卖。
从此AFK,女,谯国夫人看过了，再回来看看白蛇
コノハナノサクヤヒメ,保密,有谁是看完谯国夫人不过瘾过来重温的[笑哭]（谯国夫人也十分好看！欢迎多去影院支持～～～
草莓里的霉,保密,宝子们七月五号，《谯国夫人》就正式和大家见面啦，希望大家多多支持，包好看的[脱单doge]
新世紀纯恨戰士,女,许仙也没错什么 他去找法海的时候也只是疑虑和动摇 然后就被钳走了 换作是我发现老公是千年蟑螂精 我就去淘宝买拜尔了
风纨_Funwan,保密,画面也太美了……
仙灵岛上住着逍遥哥哥,女,真的好好看啊！
黎阳王,保密,法海为什么穿厚底鞋？感觉很不像出家人
顾璇玑sama,保密,谯国夫人就要上啦~再转一次，你怎么知道我在电影院看的《#白蛇传·情#》[脱单doge]
