Column1,Column2,Column3,Column4
昵称,性别,地区,评论
七彩炫光皮披虾,男,广西,[辣眼睛]
zerve,保密,贵州,当时就想去看来着，没排片！
是李多鱼啊,保密,四川,李少红当初想把红楼梦拍成这样吧
夕月与舞,保密,江苏,投屏播放一顿一顿的
納蘭文鸢,保密,广东,刻骨铭心啊，拍的真好，好看，看哭了
曲水流沙,女,湖南,"不知道是不是受现在仙偶剧影响，我居然觉得法海没啥错，这版法海是我看过的最温和、最有宗师气派的一版法海了，前面对白素贞一直没下狠手，都是劝她离开去修道，最后白素贞和小青水漫金山才开大。白素贞用现在眼光看是有点恋爱脑的，为了救许仙又不管不顾水漫金山，害了钱塘百姓。所以最后她被压在雷峰塔下面也算是自作自受。过去我代入的是白素贞，会同情白素贞，但是水漫金山那里我一直在想钱塘老百姓怎么办？在回想赵雅芝那版的法海都没那么气愤了，真是时移世易，人的观念也会改变。当爱情不是唯一，大家对婚姻没那么期待后，很多东西看法也会改变，弹幕里看到有人说许仙吓死那里白素贞就该放手了。她继续修道，许仙进入下一世轮回，两人的羁绊就解开了。佛家也说希望人不要执着。
不过白蛇传也不能单单认为它是讲白素贞恋爱的故事，如果只从爱情角度看，什么梁祝、孔雀东南飞等老故事都要被批判了。实际王宝钏已经被审判了。在过去封建制度下，人们的婚姻不自主，白蛇这类传说最终固定的版本形式和初版已经不一样了，是人民自己不断优化的结果，也是代表了人民心声的选择。表现爱情婚姻自由的戏码是最能代表过去反封建的，也是老百姓喜闻乐见的。不论什么题材受欢迎的戏码都是能够引发情感共鸣的。这也是传统戏剧要思考的出路。"
小毛睿战士00,保密,广西,前两周刚刚到电影院看了《谯国夫人》，整场下来人数凑不齐两桌麻将
徒青空邑,保密,上海,红星姐姐我好爱
fallinaangry,男,广东,支持
gsggdgdgd,保密,四川,看不懂
长在树上的熊猫果,保密,广东,看完谯国夫人回来再看白蛇啦，谯国夫人也好看！
巨大蟹黄包chadwick,女,广东,大家快去支持谯国夫人[奋斗][奋斗]
CN171-11救援隊,女,广东,看完谯国夫人再来看一遍白蛇，跟白蛇没得比呀感觉制作好粗糙
波本的吧,保密,广东,"谯国夫人看前一小时再看一波
从金三角回来就为了看这一部电影了，但愿太子炳唔好令我失望"
乱入の奈须,女,广东,电影谯国夫人看完啦！大家多多支持呀！舞台版的谯国夫人也很好看！！
迷途狂奔,保密,广东,粤剧电影创新三部曲第二部《谯国夫人》已经上映了！欢迎大家到影院支持[打call]【【粤剧电影谯国夫人】超强阵容，影院见-哔哩哔哩】 https://b23.tv/MW3Uuik
追忆羽,男,上海,放在现在2024年上映，绝对会票房大卖。
从此AFK,女,江苏,谯国夫人看过了，再回来看看白蛇
コノハナノサクヤヒメ,保密,广东,有谁是看完谯国夫人不过瘾过来重温的[笑哭]（谯国夫人也十分好看！欢迎多去影院支持～～～
草莓里的霉,保密,广东,宝子们七月五号，《谯国夫人》就正式和大家见面啦，希望大家多多支持，包好看的[脱单doge]
新世紀纯恨戰士,女,湖南,许仙也没错什么 他去找法海的时候也只是疑虑和动摇 然后就被钳走了 换作是我发现老公是千年蟑螂精 我就去淘宝买拜尔了
风纨_Funwan,保密,四川,画面也太美了……
仙灵岛上住着逍遥哥哥,女,广西,真的好好看啊！
黎阳王,保密,安徽,法海为什么穿厚底鞋？感觉很不像出家人
顾璇玑sama,保密,未知,谯国夫人就要上啦~再转一次，你怎么知道我在电影院看的《#白蛇传·情#》[脱单doge]
Laylakkkk杏,保密,广东,听见粤剧眼泪都要掉下来
氛围紧张,男,安徽,看了好几遍，真的好看
-拂苍云-,保密,北京,国内仙侠和戏曲电影未来的发展方向就应该是这样的！！我们年轻人爱看啊！！我真的是遗憾，明明白娘子许仙这个故事是杭州的，应该做成类似这样的越剧电影，结果偏偏被广东的粤剧抢先了！不过说实话，《白蛇传·情》给戏曲电影特效化大片化开展了一条全新的道路啊！！
传说中的静,保密,广东,听不懂粤语，但是好美啊！质感很好，我个人比较喜欢古装剧的，看这戏剧电影妆造画面都好美啊，仙气飘飘的美，国风真的yyds，小时候看得最多的戏剧电影就是黄梅戏，除此之外就没有了。
asraam,男,湖北,为了卫道，所谓救一人搭上一城人，充分说明在道面前，人什么的都是堙尘，只要道在，权威可保万万年
帆帆是甜甜的,保密,广西,牛哇
猛踹瘸孒那条好腿,男,江苏,别的不说，就冲这总策划，就值得看
浪笑呵呵,男,广西,细节太到位了，特别是动作和微表情y~y~d~s!!!
秋泣寒鸣,保密,辽宁,"许仙有啥错，谈恋爱的时候你也没说自己是蛇妖啊，许仙一个手无缚鸡之力的书生，突然发现自家娘子是一条大蛇，不怕就有鬼了……被吓到一命呜呼啊。
就这许仙还说『妖有情』那套，不错啦，还想要什么。"
走A不走心,保密,广东,好睇
安然无恙GM,保密,北京,美！
迪拜-酋长,男,吉林,看白蛇3不如看这个
迷途狂奔,保密,广东,又到端午，来应应节[脱单doge]常看常新[给心心]
八级熬夜选手,保密,广东,看完了，没有去电影院支持很可惜，服化道，剧情，演技，唱功都很厉害[喜欢]等待新作
小瑞9892,保密,湖北,水墨山水好有感觉
缘青青青,男,甘肃,这是我第一次尝试戏剧电影，我终于明白古人为什么爱看戏了
SFAN思凡,女,北京,绝
煎饼博士,男,北京,看到中华文化才知世界都是野蛮文化
煎饼博士,男,北京,流泪
天峨红古树茶官方小号,男,广西,当时就是在电影院看的。非常值得。[脱单doge][脱单doge][脱单doge]
惜墨沐宇,男,浙江,泪点比较低，看了 一小段就哭了
卡BU卡BU唧唧,保密,广东,拍得很好演得很好。棒棒哒。  白素贞修行千年，执迷不悟，简直枉费光阴！  须知宇宙之间，有得必有失，许仙一介凡人，百年之后，你们的情又如何延续？ 莫非要踏破地府，强留人间？  千年修行都无法领悟这个道理，可悲可恨…
森雨茂,保密,江苏,24年了，看的真是酣畅淋漓，虽然听不懂粤语不影响听着舒服，头一次看戏剧看完一部的，没有在影院看一大遗憾。
店小二yes,女,海南,好特别的一部电影，看的身心舒畅，之前都没刷到过相关的内容但是一点开就被硬控住了，只想继续听下去看下去，不舍得离开
孤与它对刀枪,男,江苏,第几遍了呢...
通辽枢密院枢密使,女,浙江,在线下电影院看过，很惊艳，她一唱我的鸡皮疙瘩就起来了
我素酱油,女,广东,好看，马上买票去看粤剧现场
咔滋拉哒,男,四川,不错不错
珍珠奶茶玩偶,男,四川,有意思
星沙幻梦,男,河北,没想到拍的这么好，太精彩了
大道克己丶,男,广东,太好看了
一溪流,保密,江苏,好片子··
sxhell,保密,上海,精彩，这是好东西
红尘參梦,男,上海,说法海管的宽的，你别代入许仙视角，你应该代入水漫金山被淹死的那些人的视角
糖醋烤鸭,保密,湖北,万人血书出梁祝，绝对爆[打call][打call][打call]
LLXLXYY,保密,内蒙古,画面太美了
周兴远,男,湖北,顶级的
找虐的就是我,女,湖北,看了剧场版的白蛇传·情啦，曾老师牛，小青也非常好，其他演出人员也都演得非常棒。打戏真的牛，票价还便宜，真是物超所值！
reclife,保密,上海,可惜当年不知道有这个，没有去影院观影，可惜可惜
s蘑菇炒肉,保密,黑龙江,这才是中国的东西，现在的一些古偶啊，仙侠啊拍的是哪国文化我也不知道，我也没见过。
涼宫はるひ,女,广东,说真的无论哪个版本我都觉得法海做的没有错，这两条蛇带灵入世就错了，后面不用说，你想想许仙被她吓死她就打上仙山，那如果许仙老死呢？是不是要打天庭？打不过就要撒泼灭人世？这个趋向从水漫金山就能看得出来，有的鸟兽鱼虫之为鸟兽鱼虫，是因为他们活该天生成为鸟兽鱼虫，我要是法海我直接给他灭了
Auselrys,男,浙江,我的眼泪不值钱呜呜呜
九十酒o_0,女,江苏,连续看了3天，还是意犹未尽，回味无穷！简直视听盛宴！影视剧评分给过最高分9.5！这个封神了！10分了得！
GaloThymos加急补充中,保密,广东,我看看我看看[Cat_dash]
Aphiowood,保密,四川,我外公从来爱看戏，这电影他一定喜欢。
许仙大战许褚,保密,江苏,白娘子最让我佩服的就是本领好强又很有自控力，一直用防守代替攻击，避免杀生[抱拳][抱拳][抱拳]
jgdpzxp,保密,江苏,个人一直有个不成熟的观点，不论小说，戏曲，评书，皮影等等等等传统艺术，本质上都是说故事的不同形式，在历史长河中融入了不同地区不同民俗的风格，从而形成的不同的表现形式。而一直以来都说戏曲是国粹，要传承，可是随着时代的发展，现在欣赏戏曲的人是越来越少，私以为应该还是在某些方式上守旧了。而从当初看到预告片就觉得这才是戏曲的正确传承方式，正片不负所望，实在太棒了，几位老师的戏曲功底极其深厚，一个动作一个眼神透露的那股味，两个字专业。非常感谢创作这部艺术品的各位艺术家，无限期待下一部作品。[支持][支持][支持]
薛大小姐的珊瑚宝,女,江苏,剧场版的巡演又开始喽，感兴趣的朋友可以去剧院里看看呀，现场也很精彩！4.14澳门，4.19浙江温州，4.23湖北武汉，4.27安徽合肥[奥比岛_击爪]
是大虾ya,男,广东,呢部电影咧，系我自己去电影院睇嘅当时系知道系粤剧嘅情况。有几个外地又唔知道直接买影票嚟睇然之后话点解系粤剧嘅，唱啲咩嚟噶。
黛玉哥,保密,西藏,作为一个北方人，我一开始是冲着这部电影的精良制作去的，看到最后却是被中国戏剧的美所感染的。
