页码,评论者,星级,IP属地,评论内容
1,十一伏特,2星,北京,伪装成粤剧戏曲片的三流网大电影。灾难级别的剪辑分镜，一句念白都能切换三四次机位，角色唱词时从背后或侧面拍，完全损失掉戏曲表演的功力表现。念白唱词总是和口型对不上，后期声音同步剪辑技术不达标，频繁切镜头恐怕也是为了藏拙。人物塑造趋近于零，白素贞只剩下恋爱脑，只为许仙而活，对于人间的扶危助困情节完全忽略。小青只是打手，法海只是捉妖。却偏偏花大篇幅留给打戏，夺灵芝、水漫金山都堆砌特效，已经脱离出戏曲表现的范畴。无法理解这种取舍，既没能很好表现戏曲，又没讲好基本叙事，追求特效能力又达不到。
1,田村卡夫卡,2星,河北,我觉得很没必要，不是画面好看，照搬就是好的艺术了。电影和戏剧是两个语言系统，如果想转变，那就应该确认一个语言来说，现在给我的感觉就像是一个外国人在用英文读古诗，不可能给人很好的观感。这是偷懒，不是这个常识不可能，是导演在偷懒
1,歹囡仔,2星,福建,从电影角度来看，拖沓矫情，全片就只是单纯的炫技展现视效，有点喧宾夺主了。
1,喜欢大雷的哥哥,1星,四川,国粹
2,昶秦颂,2星,北京,看不太进去，比较喜欢第四折的戏份和小青的角色。（小青的妆造也好合适）完全没办法把白蛇传当爱情故事。
2,真绪,2星,上海,一个Twins遇上Trump的故事。“爱情大过天。”“没有人比我更懂宇宙，而且我会建墙。”
2,鹿鞭野餐,2星,江苏,好听不好看
2,InvisibleHin,1星,广东,作为一个广州人，我最讨厌的就是粤剧。
3,逆旅夜行,2星,北京,可能从戏曲角度很厉害吧。但作为电影，真正看不下去，逼着自己看也看不下去，也抓不到到底戏曲美感和唱腔美感从何而来。
3,遗忘的森林,2星,陕西,补标，个人观影记录1000部标记
4,清风藤╰つ°,1星,湖北,戏曲电影终于脱离舞台的束缚，通过CG技术走向更自由的状态。
4,雪舞战龙,1星,北京,1分。实在看不下去。
4,拉达达达姆,2星,湖北,新瓶装旧酒
4,海边的查理,2星,山东,感受到经费在燃烧，感受不到作为一个电影的质感。
4,米高大伟,2星,北京,粤剧musical，了解一下。
4,不说再见,2星,浙江,好无聊的动画片
4,蝴蝶飞噜,2星,上海,白蛇传越看越有种小美人鱼的感觉，恋爱脑花痴的悲剧。对着荷花池，说春色潋滟？西湖边怎么会有阳朔桂林的高山？怀了身孕还再三劝酒是什么毛病？端午节许仙被蛇吓死？场景特效好似十几年前的虚拟壁纸。白蛇红唇艳抹实不相符，但不得不说严肃和惶恐的神情很美，小青俏皮可人但戏份太少，许仙长得像人形狐妖，法海肥头大耳不像吃素的。剧情缺少细节和说服力，全靠观众对故事的熟知而自行脑补。这拍摄和表演，我相信即便是中老年人也要看了掉一地鸡皮疙瘩吧！
5,June,1星,广东,魔幻
5,KINGKO,1星,广东,粤剧电影
5,李叔恒,1星,北京,CFAAS张险峰李金辉
5,长岛热茶,2星,北京,好难评，好难平，想洗眼睛，我真的是在看大银幕吗？不是打开了戏曲频道吗？
5,CommunistOrcas,2星,湖北,5分。4K+ATMOS版本特效其实一般，但美术真的不错，音乐在杜比全景声的加持之下也好听很多。但是，但是，作为电影来说，一定是不及格的，网大的水平能吹成这样也真是服气。影片一开始拍人几乎没有小景别，戏曲的演法搬到大银幕上尴尬无比。观感最好的打斗场面几乎没有对白，拍法也是最接近电影语言，如此看来，就能发现这个“戏曲电影”的位置有多么的尴尬了。真的求求戏曲和电影不要相互侮辱了，不是说两者孰高孰低，只是语言不通的东西做这种程度的结合，只能是供给老领导们的报告活动。拿这来唬观众，只能说大家觉得新鲜或者不懂行，不信你再多拍几部就知道了哈。
6,朝菌,2星,辽宁,还是有地域差异
6,二头肌,2星,北京,2023.2.24电影资料馆一号厅。
6,海边看仙人掌,1星,山西,我很庸俗，戏曲一点吸引不到我，甚至觉得反感。
7,momo,1星,山东,垃圾
7,切达芝士,2星,上海,孙悟空和白素贞可以对照着看。都是妖怪，男的断情绝爱以后修成正果，女的法力无边以后搞真爱至上。画面美到可以办主题乐园了，迪士尼不拍个公主可惜了。
7,小小玉,2星,陕西,我不管它是什么首部粤剧戏曲电影，既然是电影我就用电影的标准评价。剧情就是人尽皆知的白蛇许仙的故事，男女主舞台功底先放一边，电影演员和戏曲演员就不是一回事，这俩一看就不是拍电影的，看起来特别不舒服，台词也是戏腔，合在一起不伦不类。看戏人也难受，观影人也难受，何必呢？这个【电影】没有一点点像电影的地方，一星给创新创意，一星给中国风美术画面，美是真的美，内容我是真不行。就这样吧，之前期待了很久，终究是失望了。
7,付泉智,2星,美国,服化道再好也撑不起磨耳朵的唱腔
8,已殊,2星,浙江,看什么？看4K吗？？
8,∞,2星,瑞士,首先夸一夸CG效果和场景布置，但除此之外也没别的可夸了。目前为止我看过的所有戏曲电影，都有同一个通病，即不加取舍地照搬戏曲舞台表现（包括但不限于动作、台步、剧情），整一个多机位拍摄运镜的舞台录像；本片略好之处在于稍弱化了舞台感，但若想作为一部院线电影上映却还远远不够。最值得诟病的恐怕还是剧情，《白蛇传》的故事已有太多版本从太多角度进行过阐释，其中既有《白娘子传奇》这种民间故事、合家欢化的，亦不乏《青蛇》这种彻底颠覆性的，除却男女情爱外都对人性有更深层刻画，可本片只是机械模式化地重述了剧情，不带一点哲学思索和社会性反思，无缘由的与许仙相爱、与法海抗争，男女主口口声声的情啊爱的也很难使人共情，甚至使人生出“都这年头了还能为了男人要死要活？”的荒谬错位感。Ps.我现在看到男人谈女权就想笑。
8,浦东约德尔人,2星,上海,戏曲是戏曲，电影是电影。
8,彼得唯,1星,甘肃,不喜欢。古人真好骗
8,casa,2星,四川,好吧，戏曲和电影有天然的冲突
9,April,2星,北京,我永远在乎叙事
9,Dr0po7z_💫,2星,浙江,看得我昏昏欲睡，男主为啥一直鬼迷日眼的
9,micsal,2星,广东,哈哈哈，曲子好听，可惜了用在这老一套的故事上。b站也被女拳攻破了，弹幕严重影响观看
9,hench,2星,湖北,完全不知道编剧怎么想的小青小白的感情好怪再加上还有个不知道在哪儿的许宣遗留影响怪上加怪
