,页码,评论者,星级,IP属地,评论内容
0,1,nikki,3星,广东,23_034。话说我好像没正经看过粤剧，只能说初次看还真的挺不习惯的。全程真人和CG结合这种真的画面挺奇怪的。另外虽然大家对这故事都很熟了，其实总结一句就是“美色累人”，明明可以自己修成正果的就为个男人这样拖累了不值得，真是不值得啊
1,2,臻圣,3星,北京,传播中国传统文化，值得推崇！场景美轮美奂，粤语清脆悦耳，演员唱念做打都是台下多年训练的功底。水墨画般的特效意外好看，很奇妙的观影体验。
2,2,zen,3星,上海,美则美矣
3,2,丁卯,3星,北京,画面很美，特效很漂亮，节奏很慢，其他没有任何惊喜
4,2,浮生若梦,3星,加拿大,影像的助力使戏曲这门艺术变得立体，也增加了更多叙事的空间，然而它并不能称之为电影。
5,3,凉白开养鱼,3星,江苏,特效牛逼，粤语很美，剧情…就不好说什么，毕竟是戏曲，跳着看
6,3,殺死金毛玲,3星,浙江,审美疲劳啦
7,3,乐马斯,3星,上海,我愿称法海为东方撒旦（狗头），最喜欢的角色一直是小青。其实已经很好了，给7分完全没问题，但如果说有什么问题的话，那在于戏剧与电影的平衡感，还可以更粤剧一点，现在部分对手戏和动作的处理太电影化了。
8,4,今生、唯爱,3星,浙江,我爷爷奶奶一定爱看，只是我现在还没有到喜欢戏曲的年纪！
9,4,徐友惟,3星,江苏,是我肤浅了
10,4,Goldstein.MoT,3星,北京,对粤剧无感，也不是个传统戏曲迷。只是凑凑热闹看的，形式上的确有创新之处，将传统戏台子搬到了大荧幕上。
11,5,逗号后面没有了，,3星,北京,画面精美，体裁新颖，也或许不算新颖，只是比较小众少见，毕竟《定军山》就是戏剧电影。
12,5,愿今朝,3星,江苏,唯美背景，不变唱腔，水漫金山视效磅礴，依然最靓看点
13,5,何欧点益,3星,浙江,支持传统文化
14,5,齐柏林某人,3星,四川,可以更好
15,6,伯彦,3星,广东,视效独一档的好，可以说每一帧都是壁纸，只是白话文普及到现在，国粹戏曲已经慢慢变成小之小众的艺术了。
16,6,奎妮（撒野版）,3星,广东,粤剧第一次看，新鲜感十足，但是在我心目中《青蛇》之后，这个老故事就很难超越了。
17,6,白色条纹,3星,浙江,还可以，但是没有弹幕里夸得那么天花乱坠。群体效应可怕。
18,7,帝九年,3星,河北,太美了，视听效果绝佳，真的没想到以这种方式重温这个故事
19,7,Christelle,3星,浙江,妖痴起情来，比人痴...白娘子不过为求一段情、成一段缘，哪知遇上个软耳根没主见的唉...这缘，是正缘孽缘也实在不好说...粤语的韵律很上头；但唱词与外包装形态和看到过的越剧都是同样的境遇与问题，粤剧还稍微好些...
20,7,笑央,3星,北京,小西天打卡，偶遇导演交流会。唱的片段偏少。大荧幕比看剧场省力气。
21,8,宝莲,3星,法国,电影视听对于戏曲来说是一种新的方式吗？美术风格非常禁欲，故事也是老掉牙
22,8,ilsbsblm,3星,浙江,小青依然亮眼~
23,8,2007,3星,河南,不太如预期总体不错动作戏有点儿太跳了戏蛮好听
24,8,愚人之智,3星,广东,每次看白蛇传的故事我都想连夜爬上恐直山
25,8,江湖一闲人,3星,山东,在B站看完了，画面很美。
26,8,零余者i,3星,山东,人执迷，妖不悟，盈盈袅袅一段情，文可观，画足叹，朦朦胧胧一处缘。半文不土，老且年轻，似是文化困境，也是文化出路。<3.5>
27,8,咸鱼啊做个人吧,3星,上海,画面非常美丽，尤其是水袖打戏飘逸如云，但是水漫金山时法海的特效怎么越看越像堕天使啊！
28,9,Sophie,3星,广东,飞机上放的，台词、翻译、特效有点意思。
29,9,张翔森,3星,辽宁,老掉牙的故事拍了一遍又一遍，不管是新瓶装旧酒还是换汤不换药，都无法令人提起精神。
