Column1,Column2,Column3,Column4,情感得分,情感倾向
昵称,性别,地区,评论,0.3913043478260875,消极
七彩炫光皮披虾,男,广西,[辣眼睛],0.5753352742123786,积极
zerve,保密,贵州,当时就想去看来着，没排片！,0.33463815024645904,消极
是李多鱼啊,保密,四川,李少红当初想把红楼梦拍成这样吧,0.8484566042487515,积极
夕月与舞,保密,江苏,投屏播放一顿一顿的,0.6193009245410125,积极
納蘭文鸢,保密,广东,刻骨铭心啊，拍的真好，好看，看哭了,0.9933676307215621,积极
曲水流沙,女,湖南,"不知道是不是受现在仙偶剧影响，我居然觉得法海没啥错，这版法海是我看过的最温和、最有宗师气派的一版法海了，前面对白素贞一直没下狠手，都是劝她离开去修道，最后白素贞和小青水漫金山才开大。白素贞用现在眼光看是有点恋爱脑的，为了救许仙又不管不顾水漫金山，害了钱塘百姓。所以最后她被压在雷峰塔下面也算是自作自受。过去我代入的是白素贞，会同情白素贞，但是水漫金山那里我一直在想钱塘老百姓怎么办？在回想赵雅芝那版的法海都没那么气愤了，真是时移世易，人的观念也会改变。当爱情不是唯一，大家对婚姻没那么期待后，很多东西看法也会改变，弹幕里看到有人说许仙吓死那里白素贞就该放手了。她继续修道，许仙进入下一世轮回，两人的羁绊就解开了。佛家也说希望人不要执着。
不过白蛇传也不能单单认为它是讲白素贞恋爱的故事，如果只从爱情角度看，什么梁祝、孔雀东南飞等老故事都要被批判了。实际王宝钏已经被审判了。在过去封建制度下，人们的婚姻不自主，白蛇这类传说最终固定的版本形式和初版已经不一样了，是人民自己不断优化的结果，也是代表了人民心声的选择。表现爱情婚姻自由的戏码是最能代表过去反封建的，也是老百姓喜闻乐见的。不论什么题材受欢迎的戏码都是能够引发情感共鸣的。这也是传统戏剧要思考的出路。",1.0,积极
小毛睿战士00,保密,广西,前两周刚刚到电影院看了《谯国夫人》，整场下来人数凑不齐两桌麻将,0.14551272441019336,消极
徒青空邑,保密,上海,红星姐姐我好爱,0.962260579672859,积极
fallinaangry,男,广东,支持,0.626712328767123,积极
gsggdgdgd,保密,四川,看不懂,0.42581389983146645,消极
长在树上的熊猫果,保密,广东,看完谯国夫人回来再看白蛇啦，谯国夫人也好看！,0.9410497071056598,积极
巨大蟹黄包chadwick,女,广东,大家快去支持谯国夫人[奋斗][奋斗],0.9961282868506239,积极
CN171-11救援隊,女,广东,看完谯国夫人再来看一遍白蛇，跟白蛇没得比呀感觉制作好粗糙,0.9766453219184869,积极
